Source IP,Destination IP,Flow Duration,Total Fwd Packets,Total Backward Packets,Flow Bytes/s,Flow Packets/s,Label
192.168.10.19,67.72.99.137,77689,4,8,80925.23,154.46202,0
192.168.10.14,54.204.21.169,3659078,10,9,1786.789,5.192565,0
172.16.0.1,192.168.10.50,76,1,1,105263.16,26315.79,1
220.181.7.190,192.168.10.9,81,1,1,148148.14,24691.357,0
172.16.0.1,192.168.10.50,61,1,1,131147.55,32786.887,1
172.16.0.1,192.168.10.50,72,1,1,111111.11,27777.777,1
192.168.10.17,192.168.10.3,48648,2,2,5344.5156,82.22332,0
172.16.0.1,192.168.10.50,60,1,1,100000.0,33333.332,1
192.168.10.3,192.168.10.1,77359667,3,3,7.988659,0.0775598,0
192.168.10.3,192.168.10.1,65749912,2,2,5.0798545,0.060836583,0
172.16.0.1,192.168.10.50,55,1,1,109090.91,36363.637,1
172.16.0.1,192.168.10.50,54,1,1,148148.14,37037.035,1
192.168.10.15,205.174.165.73,1060597,3,3,16.971573,5.6571913,0
172.16.0.1,192.168.10.50,48,1,1,125000.0,41666.668,1
172.16.0.1,192.168.10.50,43,1,1,186046.52,46511.63,1
192.168.10.14,192.168.10.3,24144,2,2,10354.539,165.67264,0
192.168.10.3,192.168.10.1,23567,1,1,6619.4253,84.864426,0
172.16.0.1,192.168.10.50,66,1,1,121212.125,30303.031,1
172.16.0.1,192.168.10.50,48,1,1,125000.0,41666.668,1
172.16.0.1,192.168.10.50,56,1,1,107142.86,35714.285,1
192.168.10.3,192.168.10.1,62110,1,1,2221.8645,32.200935,0
172.16.0.1,192.168.10.50,49,1,1,163265.31,40816.33,1
192.168.10.3,192.168.10.1,431022,1,1,406.01175,4.6401343,0
172.16.0.1,192.168.10.50,55,1,1,109090.91,36363.637,1
172.16.0.1,192.168.10.50,70,1,1,85714.29,28571.428,1
192.168.10.17,207.178.0.75,146,2,0,0.0,13698.63,0
172.16.0.1,192.168.10.50,43,1,1,139534.89,46511.63,1
23.45.196.15,192.168.10.17,5,3,0,6.2e+06,600000.0,0
172.16.0.1,192.168.10.50,43,1,1,139534.89,46511.63,1
172.16.0.1,192.168.10.50,4,1,1,1.5e+06,500000.0,1
172.16.0.1,192.168.10.50,10,1,1,800000.0,200000.0,1
172.16.0.1,192.168.10.50,54,1,1,148148.14,37037.035,1
192.168.10.8,8.27.238.126,64,2,0,187500.0,31250.0,0
172.16.0.1,192.168.10.50,49,1,1,122448.98,40816.33,1
172.16.0.1,192.168.10.50,68,1,1,88235.3,29411.766,1
172.16.0.1,192.168.10.50,12,1,1,500000.0,166666.67,1
172.16.0.1,192.168.10.50,56,1,1,107142.86,35714.285,1
172.16.0.1,192.168.10.50,63,1,1,126984.125,31746.031,1
192.168.10.3,192.168.10.1,31098,1,1,3344.2666,64.31282,0
172.16.0.1,192.168.10.50,57,1,1,105263.16,35087.72,1
172.16.0.1,192.168.10.50,44,1,1,136363.64,45454.547,1
192.168.10.5,54.241.244.69,176344,3,3,7009.028,34.024406,0
172.16.0.1,192.168.10.50,41,1,1,195121.95,48780.49,1
172.217.6.206,192.168.10.12,52,1,1,0.0,38461.54,0
172.16.0.1,192.168.10.50,53,1,1,113207.55,37735.848,1
192.168.10.3,192.168.10.1,23607827,3,3,22.238388,0.25415298,0
172.16.0.1,192.168.10.50,38,1,1,210526.31,52631.58,1
172.16.0.1,192.168.10.50,44,1,1,181818.19,45454.547,1
192.168.10.8,172.217.9.226,5672462,3,1,2.1154835,0.70516115,0
172.16.0.1,192.168.10.50,12,1,1,500000.0,166666.67,1
172.16.0.1,192.168.10.50,55,1,1,145454.55,36363.637,1
192.168.10.15,192.168.10.3,158,2,2,1.0886076e+06,25316.455,0
172.16.0.1,192.168.10.50,45,1,1,133333.33,44444.445,1
192.168.10.5,192.168.10.3,191,2,2,1.026178e+06,20942.408,0
172.16.0.1,192.168.10.50,60,1,1,100000.0,33333.332,1
192.168.10.3,192.168.10.1,54732,1,1,2155.96,36.541695,0
172.16.0.1,192.168.10.50,29,1,1,275862.06,68965.516,1
192.168.10.3,192.168.10.1,23848,1,1,11741.026,83.86447,0
192.168.10.5,192.168.10.3,273,2,2,2.3589742e+06,14652.015,0
192.168.10.19,178.255.83.1,172638,3,4,7507.038,40.54727,0
192.168.10.17,192.168.10.3,2081081,2,2,230.64935,1.922078,0
192.168.10.14,23.196.170.62,116578056,27,30,267.65756,0.4889428,0
172.16.0.1,192.168.10.50,42,1,1,142857.14,47619.047,1
172.217.10.102,192.168.10.14,2,2,0,6e+06,1e+06,0
192.168.10.3,192.168.10.1,48682,1,1,3327.7188,41.082947,0
192.168.10.8,192.168.10.3,165,2,2,1.139394e+06,24242.424,0
172.16.0.1,192.168.10.50,11,1,1,545454.56,181818.19,1
172.16.0.1,192.168.10.50,92,1,1,65217.39,21739.13,1
172.16.0.1,192.168.10.50,42,1,1,142857.14,47619.047,1
192.168.10.3,192.168.10.1,48841,1,1,4402.039,40.949203,0
192.168.10.3,192.168.10.1,63717,1,1,3923.5996,31.388798,0
192.168.10.14,192.168.10.3,153,2,2,1.4379085e+06,26143.791,0
192.168.10.19,192.168.10.3,31986,2,2,5502.407,125.05471,0
172.16.0.1,192.168.10.50,580,2,1,17241.379,5172.4136,1
172.16.0.1,192.168.10.50,67,1,1,119402.984,29850.746,1
172.16.0.1,192.168.10.50,48,1,1,125000.0,41666.668,1
192.168.10.17,183.232.151.251,149764,2,1,120.189095,20.031517,0
192.168.10.14,192.229.211.40,600038,2,0,19.998734,3.3331223,0
172.16.0.1,192.168.10.50,19,1,1,315789.47,105263.16,1
192.168.10.16,104.97.87.215,115742167,41,55,662.3083,0.8294298,0
172.16.0.1,192.168.10.50,43,1,1,139534.89,46511.63,1
192.168.10.9,192.168.10.3,189,2,2,1.1216931e+06,21164.021,0
192.168.10.9,151.101.0.207,5844147,9,7,1234.5685,2.737782,0
192.168.10.14,184.26.153.162,26964294,8,8,80.36554,0.5933773,0
172.16.0.1,192.168.10.50,64,1,1,93750.0,31250.0,1
172.16.0.1,192.168.10.50,47,1,1,127659.58,42553.19,1
192.168.10.8,23.199.172.193,329597,4,4,2321.0164,24.272066,0
172.16.0.1,192.168.10.50,64,1,1,125000.0,31250.0,1
192.168.10.14,192.168.10.3,30993,2,2,16842.514,129.0614,0
172.16.0.1,192.168.10.50,176,1,1,34090.91,11363.637,1
